x-axis,F1
Hertz,dBV
+0E+00,-10.13367E+00
+100E+00,-8.52364E+00
+200E+00,-25.25284E+00
+300E+00,-10.79867E+00
+400E+00,-3.19872E+00
+500E+00,-13.50092E+00
+600E+00,-11.71669E+00
+700E+00,-20.03798E+00
+800E+00,-12.70087E+00
+900E+00,-14.75720E+00
+1.000E+03,-21.96324E+00
+1.100E+03,-15.73479E+00
+1.200E+03,-23.40167E+00
+1.300E+03,-13.70858E+00
+1.400E+03,-17.93425E+00
+1.500E+03,-20.18072E+00
+1.600E+03,-30.81697E+00
+1.700E+03,-37.91046E+00
+1.800E+03,-28.20234E+00
+1.900E+03,-24.09964E+00
+2.000E+03,-37.11136E+00
+2.100E+03,-31.96184E+00
+2.200E+03,-26.19817E+00
+2.300E+03,-31.42080E+00
+2.400E+03,-34.03713E+00
+2.500E+03,-29.81672E+00
+2.600E+03,-36.58302E+00
+2.700E+03,-33.32796E+00
+2.800E+03,-27.79612E+00
+2.900E+03,-34.09109E+00
+3.000E+03,-34.15731E+00
+3.100E+03,-37.65912E+00
+3.200E+03,-36.95643E+00
+3.300E+03,-39.68689E+00
+3.400E+03,-34.17675E+00
+3.500E+03,-39.68689E+00
+3.600E+03,-34.03829E+00
+3.700E+03,-39.68689E+00
+3.800E+03,-32.15921E+00
+3.900E+03,-30.14675E+00
+4.000E+03,-35.61866E+00
+4.100E+03,-38.01096E+00
+4.200E+03,-39.68689E+00
+4.300E+03,-36.23188E+00
+4.400E+03,-39.68689E+00
+4.500E+03,-39.68689E+00
+4.600E+03,-35.44376E+00
+4.700E+03,-39.68689E+00
+4.800E+03,-37.11032E+00
+4.900E+03,-39.68689E+00
+5.000E+03,-39.41926E+00
+5.100E+03,-39.68689E+00
+5.200E+03,-38.68316E+00
+5.300E+03,-39.68689E+00
+5.400E+03,-37.16796E+00
+5.500E+03,-39.68689E+00
+5.600E+03,-39.68689E+00
+5.700E+03,-39.68689E+00
+5.800E+03,-39.68689E+00
+5.900E+03,-39.68689E+00
+6.000E+03,-39.68689E+00
+6.100E+03,-39.09503E+00
+6.200E+03,-39.68689E+00
+6.300E+03,-39.68503E+00
+6.400E+03,-39.68689E+00
+6.500E+03,-39.68689E+00
