x-axis,F1
Hertz,dBV
+0E+00,-21.38611E+00
+100E+00,-9.41846E+00
+200E+00,+5.88583E+00
+300E+00,-9.29395E+00
+400E+00,+6.73617E+00
+500E+00,-14.41094E+00
+600E+00,-11.00016E+00
+700E+00,-10.24605E+00
+800E+00,-7.82022E+00
+900E+00,-19.69092E+00
+1.000E+03,-36.38206E+00
+1.100E+03,-23.43382E+00
+1.200E+03,-25.08455E+00
+1.300E+03,-21.50513E+00
+1.400E+03,-28.69847E+00
+1.500E+03,-24.71238E+00
+1.600E+03,-28.37535E+00
+1.700E+03,-30.38269E+00
+1.800E+03,-26.54095E+00
+1.900E+03,-37.94084E+00
+2.000E+03,-38.63784E+00
+2.100E+03,-31.70611E+00
+2.200E+03,-30.61854E+00
+2.300E+03,-33.48256E+00
+2.400E+03,-31.10001E+00
+2.500E+03,-34.02556E+00
+2.600E+03,-39.68689E+00
+2.700E+03,-30.86917E+00
+2.800E+03,-35.19783E+00
+2.900E+03,-33.71983E+00
+3.000E+03,-32.07596E+00
+3.100E+03,-35.67828E+00
+3.200E+03,-39.56290E+00
+3.300E+03,-31.19389E+00
+3.400E+03,-30.96155E+00
+3.500E+03,-33.37383E+00
+3.600E+03,-38.61175E+00
+3.700E+03,-38.91192E+00
+3.800E+03,-34.75237E+00
+3.900E+03,-39.68689E+00
+4.000E+03,-39.68689E+00
+4.100E+03,-39.68689E+00
+4.200E+03,-39.68689E+00
+4.300E+03,-39.68689E+00
+4.400E+03,-39.68689E+00
+4.500E+03,-39.68689E+00
+4.600E+03,-39.68689E+00
+4.700E+03,-39.68689E+00
+4.800E+03,-39.68689E+00
+4.900E+03,-39.68689E+00
+5.000E+03,-39.26287E+00
+5.100E+03,-37.20549E+00
+5.200E+03,-38.98344E+00
+5.300E+03,-39.68689E+00
+5.400E+03,-39.68689E+00
+5.500E+03,-39.68689E+00
+5.600E+03,-39.68689E+00
+5.700E+03,-39.68689E+00
+5.800E+03,-39.68689E+00
+5.900E+03,-34.83455E+00
+6.000E+03,-34.45394E+00
+6.100E+03,-36.21014E+00
+6.200E+03,-33.00536E+00
+6.300E+03,-39.68689E+00
+6.400E+03,-39.46327E+00
+6.500E+03,-39.68689E+00
+6.600E+03,-39.18389E+00
+6.700E+03,-39.30392E+00
+6.800E+03,-37.56803E+00
+6.900E+03,-39.68689E+00
+7.000E+03,-39.68689E+00
+7.100E+03,-39.68689E+00
+7.200E+03,-39.55214E+00
+7.300E+03,-35.13245E+00
+7.400E+03,-39.68689E+00
+7.500E+03,-39.68689E+00
+7.600E+03,-36.05829E+00
+7.700E+03,-38.77765E+00
+7.800E+03,-39.68689E+00
+7.900E+03,-39.68689E+00
+8.000E+03,-39.68689E+00
+8.100E+03,-39.68689E+00
+8.200E+03,-39.68689E+00
+8.300E+03,-39.68689E+00
+8.400E+03,-39.68689E+00
+8.500E+03,-39.68689E+00
+8.600E+03,-39.57621E+00
+8.700E+03,-39.68689E+00
+8.800E+03,-39.68689E+00
+8.900E+03,-34.88465E+00
+9.000E+03,-37.94969E+00
+9.100E+03,-39.68689E+00
+9.200E+03,-39.68689E+00
+9.300E+03,-39.68689E+00
+9.400E+03,-39.68689E+00
+9.500E+03,-39.68689E+00
+9.600E+03,-38.10299E+00
+9.700E+03,-39.68689E+00
+9.800E+03,-38.47598E+00
+9.900E+03,-39.68689E+00
+10.000E+03,-38.46536E+00
+10.100E+03,-38.09154E+00
+10.200E+03,-38.78521E+00
+10.300E+03,-39.68689E+00
+10.400E+03,-39.68689E+00
+10.500E+03,-39.68689E+00
+10.600E+03,-39.68689E+00
+10.700E+03,-39.68689E+00
+10.800E+03,-39.29791E+00
+10.900E+03,-39.31197E+00
+11.000E+03,-39.68689E+00
+11.100E+03,-39.54285E+00
+11.200E+03,-39.68689E+00
+11.300E+03,-39.68689E+00
+11.400E+03,-39.68689E+00
+11.500E+03,-39.68689E+00
+11.600E+03,-39.68689E+00
+11.700E+03,-39.68689E+00
+11.800E+03,-39.68689E+00
+11.900E+03,-39.68689E+00
+12.000E+03,-39.68689E+00
+12.100E+03,-39.68689E+00
+12.200E+03,-39.68689E+00
+12.300E+03,-39.36245E+00
+12.400E+03,-39.68689E+00
+12.500E+03,-39.68689E+00
+12.600E+03,-39.68689E+00
+12.700E+03,-39.68689E+00
+12.800E+03,-39.68689E+00
+12.900E+03,-39.60121E+00
+13.000E+03,-39.68689E+00
+13.100E+03,-39.68689E+00
+13.200E+03,-39.68689E+00
+13.300E+03,-39.42427E+00
+13.400E+03,-39.68689E+00
+13.500E+03,-39.68689E+00
+13.600E+03,-39.68689E+00
+13.700E+03,-39.68689E+00
+13.800E+03,-39.68689E+00
+13.900E+03,-38.54398E+00
+14.000E+03,-39.68689E+00
+14.100E+03,-39.68689E+00
+14.200E+03,-39.68689E+00
+14.300E+03,-39.68689E+00
+14.400E+03,-39.68689E+00
+14.500E+03,-39.68689E+00
+14.600E+03,-39.68689E+00
+14.700E+03,-39.68689E+00
+14.800E+03,-39.68689E+00
+14.900E+03,-39.68689E+00
+15.000E+03,-39.68689E+00
+15.100E+03,-38.69425E+00
+15.200E+03,-39.68689E+00
+15.300E+03,-39.68689E+00
+15.400E+03,-39.68689E+00
+15.500E+03,-39.68689E+00
+15.600E+03,-39.68689E+00
+15.700E+03,-39.68689E+00
+15.800E+03,-39.50847E+00
+15.900E+03,-39.68689E+00
+16.000E+03,-39.68689E+00
+16.100E+03,-39.68689E+00
+16.200E+03,-39.68689E+00
+16.300E+03,-39.67116E+00
+16.400E+03,-39.68689E+00
+16.500E+03,-36.54357E+00
+16.600E+03,-39.68689E+00
+16.700E+03,-39.68689E+00
+16.800E+03,-39.68689E+00
+16.900E+03,-39.68689E+00
+17.000E+03,-39.68689E+00
+17.100E+03,-39.68689E+00
+17.200E+03,-39.68689E+00
+17.300E+03,-39.68689E+00
+17.400E+03,-39.31731E+00
+17.500E+03,-39.68689E+00
+17.600E+03,-39.68689E+00
+17.700E+03,-39.68689E+00
+17.800E+03,-39.68689E+00
+17.900E+03,-39.15727E+00
+18.000E+03,-39.68689E+00
+18.100E+03,-39.66798E+00
+18.200E+03,-39.68689E+00
+18.300E+03,-39.68689E+00
+18.400E+03,-39.68689E+00
+18.500E+03,-39.68689E+00
+18.600E+03,-39.68689E+00
+18.700E+03,-39.68689E+00
+18.800E+03,-39.68689E+00
+18.900E+03,-39.68689E+00
+19.000E+03,-38.04904E+00
+19.100E+03,-39.68689E+00
+19.200E+03,-39.65148E+00
+19.300E+03,-39.68689E+00
+19.400E+03,-37.31446E+00
+19.500E+03,-39.68689E+00
+19.600E+03,-39.68689E+00
+19.700E+03,-39.68689E+00
+19.800E+03,-39.68689E+00
+19.900E+03,-39.68689E+00
+20.000E+03,-39.68689E+00
+20.100E+03,-37.72481E+00
+20.200E+03,-39.68689E+00
+20.300E+03,-35.85546E+00
+20.400E+03,-39.43298E+00
+20.500E+03,-39.68689E+00
+20.600E+03,-39.68689E+00
+20.700E+03,-39.68689E+00
+20.800E+03,-39.68689E+00
+20.900E+03,-39.68689E+00
+21.000E+03,-39.68689E+00
+21.100E+03,-39.68689E+00
+21.200E+03,-39.68689E+00
+21.300E+03,-34.84662E+00
+21.400E+03,-39.68689E+00
+21.500E+03,-39.68689E+00
+21.600E+03,-39.67595E+00
+21.700E+03,-38.17768E+00
+21.800E+03,-39.68689E+00
+21.900E+03,-39.64526E+00
+22.000E+03,-39.68689E+00
+22.100E+03,-39.68689E+00
+22.200E+03,-39.68689E+00
+22.300E+03,-39.68689E+00
+22.400E+03,-37.39588E+00
+22.500E+03,-39.68689E+00
+22.600E+03,-39.68689E+00
+22.700E+03,-37.20644E+00
+22.800E+03,-39.68689E+00
+22.900E+03,-39.68689E+00
+23.000E+03,-39.68689E+00
+23.100E+03,-39.68689E+00
+23.200E+03,-39.68689E+00
+23.300E+03,-39.68689E+00
+23.400E+03,-35.46039E+00
+23.500E+03,-34.95951E+00
+23.600E+03,-35.62621E+00
+23.700E+03,-37.13817E+00
+23.800E+03,-39.68689E+00
+23.900E+03,-39.68689E+00
+24.000E+03,-34.28487E+00
+24.100E+03,-37.98961E+00
+24.200E+03,-39.43855E+00
+24.300E+03,-33.17110E+00
+24.400E+03,-24.69870E+00
+24.500E+03,-32.37492E+00
+24.600E+03,-28.20137E+00
+24.700E+03,-23.28210E+00
+24.800E+03,-13.89194E+00
+24.900E+03,-24.57372E+00
+25.000E+03,-14.93127E+00
+25.100E+03,+4.81466E+00
+25.200E+03,-11.09126E+00
+25.300E+03,-19.69455E+00
+25.400E+03,-21.00367E+00
+25.500E+03,-21.85870E+00
+25.600E+03,-30.60163E+00
+25.700E+03,-23.31382E+00
+25.800E+03,-33.60286E+00
+25.900E+03,-34.16035E+00
+26.000E+03,-32.12217E+00
+26.100E+03,-31.54519E+00
+26.200E+03,-39.68689E+00
+26.300E+03,-39.68689E+00
+26.400E+03,-39.64312E+00
+26.500E+03,-39.68689E+00
+26.600E+03,-36.94687E+00
+26.700E+03,-39.68689E+00
+26.800E+03,-39.68689E+00
+26.900E+03,-39.68689E+00
+27.000E+03,-39.68689E+00
+27.100E+03,-37.15034E+00
+27.200E+03,-37.61133E+00
+27.300E+03,-39.68689E+00
+27.400E+03,-39.29825E+00
+27.500E+03,-39.68689E+00
+27.600E+03,-39.68689E+00
+27.700E+03,-39.68689E+00
+27.800E+03,-39.68689E+00
+27.900E+03,-39.68689E+00
+28.000E+03,-39.68689E+00
+28.100E+03,-39.68689E+00
+28.200E+03,-39.68689E+00
+28.300E+03,-39.68689E+00
+28.400E+03,-39.68689E+00
+28.500E+03,-36.20415E+00
+28.600E+03,-39.68689E+00
+28.700E+03,-39.68689E+00
+28.800E+03,-39.56129E+00
+28.900E+03,-39.66284E+00
+29.000E+03,-39.68689E+00
+29.100E+03,-39.68689E+00
+29.200E+03,-39.68689E+00
+29.300E+03,-39.68689E+00
+29.400E+03,-39.68689E+00
+29.500E+03,-39.37992E+00
+29.600E+03,-39.68689E+00
+29.700E+03,-39.68689E+00
+29.800E+03,-39.68689E+00
+29.900E+03,-39.68689E+00
+30.000E+03,-39.68689E+00
+30.100E+03,-39.68689E+00
+30.200E+03,-39.68689E+00
+30.300E+03,-39.68689E+00
+30.400E+03,-39.68689E+00
+30.500E+03,-39.68689E+00
+30.600E+03,-37.23369E+00
+30.700E+03,-39.68689E+00
+30.800E+03,-39.68689E+00
+30.900E+03,-39.68689E+00
+31.000E+03,-39.68689E+00
+31.100E+03,-39.68689E+00
+31.200E+03,-39.68689E+00
+31.300E+03,-39.68689E+00
+31.400E+03,-39.68689E+00
+31.500E+03,-39.68689E+00
+31.600E+03,-39.68689E+00
+31.700E+03,-39.68689E+00
+31.800E+03,-39.68689E+00
+31.900E+03,-35.00428E+00
+32.000E+03,-39.68689E+00
+32.100E+03,-39.68689E+00
+32.200E+03,-39.68689E+00
+32.300E+03,-39.53234E+00
+32.400E+03,-39.49365E+00
+32.500E+03,-39.68689E+00
+32.600E+03,-39.45048E+00
+32.700E+03,-37.48281E+00
+32.800E+03,-39.68689E+00
+32.900E+03,-39.68689E+00
+33.000E+03,-39.68689E+00
+33.100E+03,-39.68689E+00
+33.200E+03,-39.68689E+00
+33.300E+03,-39.68689E+00
+33.400E+03,-39.68689E+00
+33.500E+03,-39.68689E+00
+33.600E+03,-39.64930E+00
+33.700E+03,-39.68689E+00
+33.800E+03,-37.14103E+00
+33.900E+03,-39.19334E+00
+34.000E+03,-39.68689E+00
+34.100E+03,-36.61742E+00
+34.200E+03,-36.63684E+00
+34.300E+03,-39.68689E+00
+34.400E+03,-39.68689E+00
+34.500E+03,-39.51319E+00
+34.600E+03,-39.68689E+00
+34.700E+03,-39.68689E+00
+34.800E+03,-39.68689E+00
+34.900E+03,-39.68689E+00
+35.000E+03,-39.68689E+00
+35.100E+03,-36.09070E+00
+35.200E+03,-39.68689E+00
+35.300E+03,-39.68689E+00
+35.400E+03,-39.68689E+00
+35.500E+03,-39.68689E+00
+35.600E+03,-39.68689E+00
+35.700E+03,-39.68689E+00
+35.800E+03,-39.20249E+00
+35.900E+03,-39.42589E+00
+36.000E+03,-39.68689E+00
+36.100E+03,-39.68689E+00
+36.200E+03,-39.68689E+00
+36.300E+03,-39.68689E+00
+36.400E+03,-39.68689E+00
+36.500E+03,-39.68689E+00
+36.600E+03,-38.91887E+00
+36.700E+03,-38.22285E+00
+36.800E+03,-39.68689E+00
+36.900E+03,-39.10043E+00
+37.000E+03,-39.02900E+00
+37.100E+03,-39.68689E+00
+37.200E+03,-39.68689E+00
+37.300E+03,-39.68689E+00
+37.400E+03,-39.67103E+00
+37.500E+03,-39.68689E+00
+37.600E+03,-35.77676E+00
+37.700E+03,-39.68689E+00
+37.800E+03,-39.43578E+00
+37.900E+03,-39.68689E+00
+38.000E+03,-39.68689E+00
+38.100E+03,-39.20646E+00
+38.200E+03,-35.56702E+00
+38.300E+03,-38.91232E+00
+38.400E+03,-39.68689E+00
+38.500E+03,-39.68689E+00
+38.600E+03,-39.68689E+00
+38.700E+03,-39.51233E+00
+38.800E+03,-39.68689E+00
+38.900E+03,-39.68689E+00
+39.000E+03,-39.68689E+00
+39.100E+03,-39.68689E+00
+39.200E+03,-37.05309E+00
+39.300E+03,-39.68689E+00
+39.400E+03,-37.88889E+00
+39.500E+03,-39.68689E+00
+39.600E+03,-36.83496E+00
+39.700E+03,-39.68689E+00
+39.800E+03,-39.68689E+00
+39.900E+03,-39.68689E+00
+40.000E+03,-39.68689E+00
+40.100E+03,-39.68689E+00
+40.200E+03,-39.68689E+00
+40.300E+03,-39.68689E+00
+40.400E+03,-39.07057E+00
+40.500E+03,-39.68689E+00
+40.600E+03,-39.68689E+00
+40.700E+03,-39.68689E+00
+40.800E+03,-38.75710E+00
+40.900E+03,-39.48493E+00
+41.000E+03,-39.68689E+00
+41.100E+03,-39.68689E+00
+41.200E+03,-39.68689E+00
+41.300E+03,-39.68689E+00
+41.400E+03,-37.90361E+00
+41.500E+03,-39.68689E+00
+41.600E+03,-39.68689E+00
+41.700E+03,-39.68689E+00
+41.800E+03,-39.68689E+00
+41.900E+03,-39.68689E+00
+42.000E+03,-38.10917E+00
+42.100E+03,-39.68689E+00
+42.200E+03,-39.68689E+00
+42.300E+03,-39.68689E+00
+42.400E+03,-39.68689E+00
+42.500E+03,-38.09426E+00
+42.600E+03,-39.68689E+00
+42.700E+03,-39.07984E+00
+42.800E+03,-39.68689E+00
+42.900E+03,-38.38434E+00
+43.000E+03,-39.47483E+00
+43.100E+03,-34.72675E+00
+43.200E+03,-39.68689E+00
+43.300E+03,-35.94511E+00
+43.400E+03,-39.57415E+00
+43.500E+03,-32.40265E+00
+43.600E+03,-39.68689E+00
+43.700E+03,-39.68689E+00
+43.800E+03,-39.68689E+00
+43.900E+03,-32.91637E+00
+44.000E+03,-25.67706E+00
+44.100E+03,-38.48759E+00
+44.200E+03,-39.68689E+00
+44.300E+03,-37.67178E+00
+44.400E+03,-39.68689E+00
+44.500E+03,-39.68689E+00
+44.600E+03,-39.68689E+00
+44.700E+03,-39.23131E+00
+44.800E+03,-39.68689E+00
+44.900E+03,-37.24519E+00
+45.000E+03,-39.68689E+00
+45.100E+03,-39.68689E+00
+45.200E+03,-39.60923E+00
+45.300E+03,-39.68689E+00
+45.400E+03,-39.68689E+00
